gene_id	gameto_4	gameto_5	sporo_2	sporo_3	sporo_4
gene:AT1G02900	0	0	19	31	28
gene:AT1G02910	84	265	1730	2114	2410
gene:AT1G02920	1	4	10068	6907	4606
gene:AT1G02930	2	25	18629	12086	8466
gene:AT1G02940	0	0	4	1	2
gene:AT1G02950	0	0	174	321	326
gene:AT1G02960	505	207	592	710	743
gene:AT1G02965	17	53	0	0	6
gene:AT1G02970	1	477	103	101	106
gene:AT1G02980	4619	4294	0	0	1
gene:AT1G02990	480	483	957	865	919
gene:AT1G03000	779	749	1100	1242	1377
gene:AT1G03010	6	2	73	88	106
gene:AT1G03020	0	0	19	17	9
gene:AT1G03030	292	663	453	485	558
gene:AT1G03040	1486	472	916	1129	1172
gene:AT1G03050	55	142	5	6	13
gene:AT1G03055	1282	659	78	165	165
gene:AT1G03060	2248	932	3278	2883	2990
gene:AT1G03070	156	34	17	13	17
gene:AT1G03080	4094	998	2054	2155	2120
gene:AT1G03090	1497	1624	1466	2650	3074
gene:AT1G03100	169	116	137	183	236
gene:AT1G03103	0	0	1	1	0
gene:AT1G03106	25	216	1	1	1
gene:AT1G03110	92	585	306	474	529
gene:AT1G03120	0	0	6	10	9
gene:AT1G03130	236	55	22210	27116	26313
gene:AT1G03140	2590	790	1199	1426	1567
gene:AT1G03150	341	263	443	592	619
gene:AT1G03160	1598	1579	2408	2490	2626
gene:AT1G03165	2	0	22	9	11
gene:AT1G03170	0	0	16	10	8
gene:AT1G03180	168	231	68	83	107
gene:AT1G03190	2687	933	324	376	398
gene:AT1G03200	40	0	50	34	40
gene:AT1G03210	28	13	675	511	631
gene:AT1G03220	84	51	3175	1572	1522
gene:AT1G03230	1	1	945	650	662
gene:AT1G03240	5	0	2	5	4
gene:AT1G03250	0	422	815	838	871
gene:AT1G03260	130	351	310	362	375
gene:AT1G03270	0	1	96	144	127
gene:AT1G03280	241	1256	908	1074	1156
gene:AT1G03290	853	242	1721	1486	1573
gene:AT1G03300	18	7	82	108	112
gene:AT1G03310	1396	537	1380	1773	1724
gene:AT1G03320	0	3	6	3	5
gene:AT1G03325	0	0	1	0	1
gene:AT1G03330	27	66	605	750	797
gene:AT1G03340	5	167	127	123	133
gene:AT1G03350	191	381	1211	1236	1222
gene:AT1G03360	219	683	301	400	466
gene:AT1G03365	89	100	713	748	848
gene:AT1G03370	1723	318	3920	2553	2878
gene:AT1G03380	226	504	1276	1224	1126
gene:AT1G03390	0	22	1	0	1
gene:AT1G03395	0	0	0	0	0
gene:AT1G03400	53	61	1606	1097	1283
gene:AT1G03410	12	15	599	645	717
gene:AT1G03430	60	333	876	681	749
gene:AT1G03440	302	4	282	349	400
gene:AT1G03445	0	0	3	6	5
gene:AT1G03457	70	6	110	190	164
gene:AT1G03470	672	907	97	125	152
gene:AT1G03475	3533	431	6900	8514	9667
gene:AT1G03490	0	0	0	3	3
gene:AT1G03495	0	0	136	112	107
gene:AT1G03510	48	396	43	48	82
gene:AT1G03520	25	8	667	719	738
gene:AT1G03530	322	816	371	514	536
gene:AT1G03540	1147	190	53	50	79
gene:AT1G03550	56	50	255	311	305
gene:AT1G03560	1056	195	271	288	347
gene:AT1G03590	19	2	661	836	855
gene:AT1G03600	217	405	5285	7877	7627
gene:AT1G03610	166	1416	3217	1900	1915
gene:AT1G03620	2	2	28	29	20
gene:AT1G03630	455	753	5083	7098	7254
gene:AT1G03650	204	1	80	95	95
gene:AT1G03660	34	0	21	38	51
gene:AT1G03670	3	1	1	0	2
gene:AT1G03680	1175	782	8332	8505	8718
gene:AT1G03687	737	45	329	426	491
gene:AT1G03700	0	0	0	1	0
gene:AT1G03710	95	179	7	20	27
gene:AT1G03720	0	0	0	0	1
gene:AT1G03730	14	2	578	355	369
gene:AT1G03740	1748	438	6627	3900	3299
gene:AT1G03750	876	320	265	259	278
gene:AT1G03760	543	250	289	288	349
gene:AT1G03770	3431	2716	117	191	226
gene:AT1G03780	951	565	96	309	379
gene:AT1G03790	4	0	4	0	1
gene:AT1G03800	0	0	6	10	13
gene:AT1G03810	0	0	0	0	0
gene:AT1G03820	0	0	138	215	193
gene:AT1G03830	1121	823	300	409	446
gene:AT1G03840	0	0	3	11	12
gene:AT1G03850	0	0	637	809	236
gene:AT1G03860	1409	441	1778	2046	2201
gene:AT1G03870	2	18	1731	1598	1058
gene:AT1G03880	0	0	0	0	1
gene:AT1G03890	0	0	0	1	0
gene:AT1G03900	392	151	1956	1893	1842
gene:AT1G03905	538	589	94	123	101
gene:AT1G03910	2325	1381	1510	1668	1827
gene:AT1G03920	1	0	53	92	119
gene:AT1G03930	251	157	1764	1899	1887
gene:AT1G03940	11	1	129	90	75
gene:AT1G03950	152	777	444	339	336
gene:AT1G03960	1334	1792	476	514	566
gene:AT1G03970	1105	618	930	638	752
gene:AT1G03980	424	320	20	20	15
gene:AT1G03982	23	0	1	1	0
gene:AT1G03990	1613	947	92	104	88
gene:AT1G04000	150	367	162	125	121
gene:AT1G04010	1499	338	333	324	322
gene:AT1G04020	12	6	287	297	339
gene:AT1G04030	11310	5699	2436	1288	1126
gene:AT1G04040	79	53	5494	2400	2041
gene:AT1G04050	518	372	72	49	82
gene:AT1G04070	8	98	63	75	98
gene:AT1G04080	2392	2830	2871	3453	3682
gene:AT1G04090	138	230	16	23	17
gene:AT1G04100	566	37	113	113	123
gene:AT1G04105	172	0	34	36	45
gene:AT1G04110	259	6	167	603	694
gene:AT1G04120	3153	3174	1830	2083	2132
gene:AT1G04130	868	615	189	235	207
gene:AT1G04140	1063	1905	3267	3060	3160
gene:AT1G04150	6	0	0	0	0
gene:AT1G04160	1966	492	434	525	540
gene:AT1G04170	4004	2296	2969	3616	3967
gene:AT1G04180	1	0	5	3	2
gene:AT1G04190	839	290	677	831	858
gene:AT1G04200	1918	527	2020	1945	2083
gene:AT1G04210	1281	620	2841	2872	3152
gene:AT1G04220	2	0	90	26	38
gene:AT1G04230	1218	276	957	905	891
gene:AT1G04240	29	0	1195	1060	951
gene:AT1G04250	1	0	211	227	183
gene:AT1G04260	2	0	245	273	275
gene:AT1G04270	1064	760	5515	8432	9391
gene:AT1G04280	501	1	928	925	930
gene:AT1G04290	1131	36	261	338	357
gene:AT1G04300	3714	5970	2918	2788	2987
gene:AT1G04310	187	585	317	321	332
gene:AT1G04330	0	15	2	5	2
gene:AT1G04340	38	0	474	547	644
gene:AT1G04350	2062	207	778	1171	1076
gene:AT1G04360	0	0	204	135	121
gene:AT1G04370	0	0	0	1	1
gene:AT1G04380	292	568	3	6	4
gene:AT1G04390	586	739	356	384	453
gene:AT1G04400	1	460	6863	5663	6335
gene:AT1G04410	1163	1220	21398	18923	20408
gene:AT1G04420	611	174	3146	4185	4566
gene:AT1G04430	4	1	6051	4262	4582
gene:AT1G04440	823	1069	2893	2274	2252
gene:AT1G04445	20	26	2	4	3
gene:AT1G04450	15	130	0	0	0
gene:AT1G04455	36	377	0	3	2
gene:AT1G04470	33	47	3	1	2
gene:AT1G04480	673	238	1937	2868	3230
gene:AT1G04490	1	72	73	47	41
gene:AT1G04500	0	0	3	3	5
gene:AT1G04510	3538	4083	1616	2028	2286
gene:AT1G04520	2	3	276	542	553
gene:AT1G04530	297	159	2116	2782	2990
gene:AT1G04540	1	9	97	146	187
gene:AT1G04550	149	620	508	810	839
gene:AT1G04555	1314	1312	196	146	197
gene:AT1G04560	0	0	0	0	0
gene:AT1G04570	120	345	24	47	61
gene:AT1G04580	954	344	1	6	9
gene:AT1G04590	165	195	407	605	615
gene:AT1G04600	1707	1059	209	140	177
gene:AT1G04610	0	0	9	7	5
gene:AT1G04620	1002	505	1135	744	841
gene:AT1G04625	30	4	46	53	81
gene:AT1G04630	507	242	590	757	773
gene:AT1G04635	0	96	52	61	69
gene:AT1G04640	4	24	1112	1285	1421
gene:AT1G04645	831	390	3	4	1
gene:AT1G04650	945	585	60	93	81
gene:AT1G04660	0	0	16	27	24
gene:AT1G04670	0	0	0	0	0
gene:AT1G04680	1	0	3574	2798	2893
gene:AT1G04690	0	0	3211	2930	3205
gene:AT1G04700	1091	88	34	47	72
gene:AT1G04710	1543	319	461	628	673
gene:AT1G04730	1906	161	286	315	350
gene:AT1G04750	319	138	2643	2313	2506
gene:AT1G04760	45	25	298	324	389
gene:AT1G04770	45	72	825	885	892
gene:AT1G04778	0	0	0	7	6
gene:AT1G04780	1702	1006	2227	1860	1957
gene:AT1G04790	563	81	2547	5065	5288
gene:AT1G04800	0	0	2752	6308	6572
gene:AT1G04810	1734	750	1854	2063	2032
gene:AT1G04820	5165	3011	10389	11168	11582
gene:AT1G04830	536	394	499	499	524
gene:AT1G04840	14	120	56	40	60
gene:AT1G04850	2193	2145	1997	2165	2478
gene:AT1G04860	424	326	1167	1332	1390
gene:AT1G04870	459	334	789	854	979
gene:AT1G04880	1	0	7	16	14
gene:AT1G04890	0	112	1	1	1
gene:AT1G04895	0	1	0	0	0
gene:AT1G04900	1283	313	332	425	534
gene:AT1G04910	414	529	1147	1055	1087
gene:AT1G04920	241	350	97	271	274
gene:AT1G04930	1	136	89	80	96
gene:AT1G04940	889	417	1898	2645	2957
gene:AT1G04945	1591	1007	2118	2897	3219
gene:AT1G04950	6121	2120	734	920	998
gene:AT1G04960	65	183	832	688	625
gene:AT1G04970	274	648	962	1088	1141
gene:AT1G04980	453	1006	594	720	856
gene:AT1G04985	313	405	807	892	933
gene:AT1G04990	1212	1505	1271	906	1169
gene:AT1G05000	0	0	71	63	71
gene:AT1G05005	0	0	1	0	0
gene:AT1G05010	200	0	14345	11585	9601
gene:AT1G05020	187	35	218	148	137
gene:AT1G05030	134	154	712	794	904
gene:AT1G05035	13	21	89	124	103
gene:AT1G05040	4	0	2	4	4
gene:AT1G05055	454	370	243	317	333
gene:AT1G05060	15	91	500	428	447
gene:AT1G05065	58	13	29	46	49
gene:AT1G05070	57	145	463	537	593
gene:AT1G05080	845	0	0	0	0
gene:AT1G05085	11	2	0	0	0
gene:AT1G05087	2	108	184	226	181
gene:AT1G05090	311	255	374	386	484
gene:AT1G05100	0	0	8	18	15
gene:AT1G05120	1585	1476	795	847	787
gene:AT1G05136	0	0	4	2	2
gene:AT1G05140	11	0	1222	1415	1596
gene:AT1G05150	227	686	889	1169	1280
gene:AT1G05160	567	264	429	491	552
gene:AT1G05170	122	0	347	403	455
gene:AT1G05180	1178	1680	1333	1258	1446
gene:AT1G05190	839	570	11228	17094	18564
gene:AT1G05200	458	149	1654	1769	1802
gene:AT1G05205	37	52	255	375	381
gene:AT1G05210	35	15	132	154	204
gene:AT1G05220	323	53	19	6	11
gene:AT1G05230	323	9	678	974	1058
gene:AT1G05240	65	29	4	3	5
gene:AT1G05250	77	40	2	3	5
gene:AT1G05260	1	1	1	2	1
gene:AT1G05270	4	1	921	920	1063
gene:AT1G05280	0	0	0	0	0
gene:AT1G05290	1	0	0	0	0
gene:AT1G05291	271	951	0	0	0
gene:AT1G05300	0	0	74	110	96
gene:AT1G05310	1	1	63	137	197
gene:AT1G05320	108	141	805	800	760
gene:AT1G05330	0	0	11	3	3
gene:AT1G05340	0	0	263	89	67
gene:AT1G05350	1660	1354	1135	1271	1278
gene:AT1G05360	923	835	324	545	651
gene:AT1G05370	163	226	33	56	54
gene:AT1G05380	3285	2743	1301	1418	1391
gene:AT1G05385	36	214	462	714	733
gene:AT1G05400	151	73	21	26	16
gene:AT1G05410	235	334	401	461	504
gene:AT1G05420	0	0	4	14	20
gene:AT1G05430	861	744	814	796	867
gene:AT1G05440	0	0	21	35	47
gene:AT1G05450	0	0	0	0	0
gene:AT1G05460	1672	589	425	452	475
gene:AT1G05470	1	0	297	677	642
gene:AT1G05490	1567	615	4	10	7
gene:AT1G05500	928	599	1443	1507	1632
gene:AT1G05510	0	37	5	4	6
gene:AT1G05520	2981	2127	1375	1289	1382
gene:AT1G05530	0	0	6	10	13
gene:AT1G05540	158	3	158	245	228
gene:AT1G05550	2	0	6	13	15
gene:AT1G05560	20	0	488	559	518
gene:AT1G05570	2003	367	2573	1687	2061
gene:AT1G05575	0	0	1067	464	401
gene:AT1G05577	2	0	2	1	2
gene:AT1G05580	0	0	1	0	1
gene:AT1G05590	14	127	483	518	544
gene:AT1G05600	123	122	188	255	279
gene:AT1G05610	3	0	14	74	69
gene:AT1G05615	0	0	1	0	1
gene:AT1G05620	289	201	360	421	415
gene:AT1G05630	1125	747	1705	1759	2110
gene:AT1G05640	273	37	78	112	123
gene:AT1G05650	0	0	0	0	0
gene:AT1G05660	1	0	0	0	2
gene:AT1G05670	263	271	521	305	342
gene:AT1G05675	0	0	2089	1050	834
gene:AT1G05680	0	5	7	42	25
gene:AT1G05690	4	17	123	73	93
gene:AT1G05700	0	0	3	0	3
gene:AT1G05710	1	0	180	188	173
gene:AT1G05720	134	278	696	644	746
gene:AT1G05730	3	13	300	235	303
gene:AT1G05740	0	0	3	0	5
gene:AT1G05750	6	0	280	434	501
gene:AT1G05760	0	0	103	211	244
gene:AT1G05770	0	0	23	45	43
gene:AT1G05780	27	2	159	209	218
gene:AT1G05783	0	0	18	13	12
gene:AT1G05785	1098	546	205	178	205
gene:AT1G05790	419	9	671	667	742
gene:AT1G05800	1	0	2	2	0
gene:AT1G05805	1	707	2191	2019	1888
gene:AT1G05810	4	0	333	354	399
gene:AT1G05820	3	81	113	127	117
gene:AT1G05830	1549	1993	1278	1728	1842
gene:AT1G05835	8	0	68	241	334
gene:AT1G05840	879	379	1032	895	929
gene:AT1G05850	591	1	19172	15636	15182
gene:AT1G05860	0	0	233	220	277
gene:AT1G05870	4	0	388	507	486
gene:AT1G05880	0	0	9	18	13
gene:AT1G05890	763	989	1981	2188	2231
gene:AT1G05894	14	0	20	12	23
gene:AT1G05900	325	262	484	600	595
gene:AT1G05910	1475	1016	1010	1159	1223
gene:AT1G05920	0	0	3	0	0
gene:AT1G05930	0	0	0	0	0
gene:AT1G05940	787	667	1014	1059	1097
gene:AT1G05950	339	1138	141	167	179
gene:AT1G05960	789	911	1769	1690	1851
gene:AT1G05970	2	26	224	227	261
gene:AT1G05990	0	0	1	1	1
gene:AT1G06000	1	0	539	850	803
gene:AT1G06010	64	88	216	331	407
gene:AT1G06020	281	693	14	21	9
gene:AT1G06030	1138	258	3	1	5
gene:AT1G06040	468	539	5623	6531	6380
gene:AT1G06045	434	256	1724	1778	1658
gene:AT1G06050	217	105	295	348	365
gene:AT1G06060	308	776	658	808	786
gene:AT1G06070	11	6	524	541	587
gene:AT1G06080	41	41	747	243	348
gene:AT1G06090	3	0	3	15	26
gene:AT1G06100	38	0	1	1	5
gene:AT1G06110	589	109	843	1016	1138
gene:AT1G06120	1	0	1	2	0
gene:AT1G06130	644	210	1463	1173	1105
gene:AT1G06135	0	0	25	1	1
gene:AT1G06137	0	0	11	2	2
gene:AT1G06140	335	143	78	54	70
gene:AT1G06143	56	99	96	113	138
gene:AT1G06148	10	6	5	15	6
gene:AT1G06150	570	632	974	1434	1419
gene:AT1G06160	0	0	211	228	138
gene:AT1G06170	2	151	4	16	21
gene:AT1G06180	1	0	57	142	135
gene:AT1G06190	593	294	2324	3608	4154
gene:AT1G06200	41	67	1219	1176	1237
gene:AT1G06210	1519	1417	705	796	819
gene:AT1G06220	2909	2425	2578	2915	2987
gene:AT1G06225	0	0	0	0	0
gene:AT1G06230	1038	838	2139	2417	2558
gene:AT1G06240	1109	244	400	478	512
gene:AT1G06250	66	95	46	45	57
gene:AT1G06260	330	196	46	92	102
gene:AT1G06270	1421	6	79	116	123
gene:AT1G06280	0	0	0	0	0
gene:AT1G06290	1474	204	2602	2590	2703
gene:AT1G06310	222	12	46	5	8
gene:AT1G06320	232	42	1	0	0
gene:AT1G06330	13	0	0	0	0
gene:AT1G06340	0	0	3	2	1
gene:AT1G06350	0	0	44	83	75
gene:AT1G06360	0	0	541	1304	1333
gene:AT1G06380	29	50	219	286	309
gene:AT1G06390	3	2	2120	2168	2346
gene:AT1G06400	49	5	1509	1341	1418
gene:AT1G06410	2393	2393	5818	4685	4902
gene:AT1G06420	1	0	15	36	28
gene:AT1G06430	584	192	2697	2872	2893
gene:AT1G06440	317	327	86	94	99
gene:AT1G06450	56	125	668	325	386
gene:AT1G06460	591	157	6314	2964	3494
gene:AT1G06470	302	1439	989	1074	1232
gene:AT1G06475	0	40	13	35	38
gene:AT1G06490	1806	476	205	488	524
gene:AT1G06500	219	142	348	417	446
gene:AT1G06510	692	26	683	838	951
gene:AT1G06515	158	16	588	625	729
gene:AT1G06520	0	0	44	28	23
gene:AT1G06530	906	236	1083	1276	1368
gene:AT1G06540	906	236	1089	1287	1372
gene:AT1G06550	514	686	603	1270	1370
gene:AT1G06560	512	703	468	657	745
gene:AT1G06570	171	68	693	1168	1161
gene:AT1G06580	135	6	87	117	136
gene:AT1G06590	172	55	299	391	377
gene:AT1G06620	28	1	491	323	159
gene:AT1G06630	473	708	968	1107	1178
gene:AT1G06640	247	93	2347	2746	2496
gene:AT1G06645	4	3	380	361	422
gene:AT1G06650	15	35	2354	2134	2284
gene:AT1G06660	140	6	46	101	103
gene:AT1G06670	1652	2042	1618	2155	2392
gene:AT1G06680	699	395	105998	115982	111689
gene:AT1G06690	99	437	1069	1358	1391
gene:AT1G06700	3135	815	1979	2092	2127
gene:AT1G06710	362	192	208	289	310
gene:AT1G06720	4534	2141	1290	1507	1800
gene:AT1G06730	128	962	403	584	546
gene:AT1G06740	48	16	127	192	155
gene:AT1G06750	30	1	50	48	45
gene:AT1G06760	156	17	2038	2871	2977
gene:AT1G06770	18	1	300	382	471
gene:AT1G06780	4295	1008	467	427	478
gene:AT1G06790	1355	237	343	351	394
gene:AT1G06800	1765	116	238	188	190
gene:AT1G06810	18	28	5	2	3
gene:AT1G06820	787	3489	1374	1829	1877
gene:AT1G06830	90	0	378	351	322
gene:AT1G06840	0	319	924	791	820
gene:AT1G06850	92	56	278	283	255
gene:AT1G06870	583	291	552	554	604
gene:AT1G06890	2509	1347	1742	1355	1499
gene:AT1G06900	1938	1011	1730	1902	2089
gene:AT1G06910	1534	960	165	195	226
gene:AT1G06920	0	0	2	1	0
gene:AT1G06923	13	0	0	0	0
gene:AT1G06925	140	88	0	1	0
gene:AT1G06930	8	102	0	3	0
gene:AT1G06950	5362	3838	5849	8592	9914
gene:AT1G06960	500	143	345	521	547
gene:AT1G06970	0	0	9	1	2
gene:AT1G06980	0	0	24	14	17
gene:AT1G06990	0	0	1	0	0
gene:AT1G07000	8	25	4112	1824	1942
gene:AT1G07010	556	1511	828	1353	1400
gene:AT1G07020	252	30	391	383	406
gene:AT1G07025	0	0	1	0	0
gene:AT1G07030	380	98	380	489	527
gene:AT1G07040	1314	688	1149	969	1059
gene:AT1G07050	0	13	2413	1091	1636
gene:AT1G07060	56	101	3	14	15
gene:AT1G07070	22	61	377	660	731
gene:AT1G07080	676	1081	2359	1789	1796
gene:AT1G07090	0	0	130	109	68
gene:AT1G07110	3672	3123	4467	4529	4811
gene:AT1G07120	128	689	62	67	73
gene:AT1G07130	65	3	162	81	72
gene:AT1G07135	1	11	9711	3259	3507
gene:AT1G07140	2035	1183	3708	3431	3759
gene:AT1G07150	194	39	245	237	264
gene:AT1G07160	7	265	377	29	34
gene:AT1G07170	114	8	308	324	399
gene:AT1G07175	0	0	1	0	0
gene:AT1G07180	189	6	670	1792	1615
gene:AT1G07190	0	0	0	0	0
gene:AT1G07200	231	308	1062	1431	1616
gene:AT1G07210	636	544	672	896	925
