TRINITY_DN0_c0_g1	GO:0004674,GO:0004709,GO:0005524,GO:0005737,GO:0007346,GO:0010098,GO:0010103,GO:0010229,GO:0023014,GO:0031098,GO:0032147,GO:0040008
TRINITY_DN1006_c0_g1	GO:0004151,GO:0005739,GO:0009507,GO:0019856,GO:0044205,GO:0046872
TRINITY_DN1006_c0_g2	GO:0000160,GO:0005622
TRINITY_DN10070_c0_g1	GO:0005739,GO:0008780,GO:0009245,GO:2001289
TRINITY_DN10071_c0_g1	GO:0004842,GO:0008270,GO:0016021,GO:0016567,GO:0016874
TRINITY_DN10072_c0_g1	GO:0003700,GO:0005634,GO:0006351,GO:0009733,GO:0009734
TRINITY_DN10075_c0_g1	GO:0000049,GO:0002098,GO:0005737,GO:0010311,GO:0016779,GO:0016783,GO:0032447,GO:0034227
TRINITY_DN10076_c0_g1	GO:0003676,GO:0005524,GO:0005634,GO:0006281,GO:0006310,GO:0008026,GO:0032508,GO:0043138,GO:0046872
TRINITY_DN10078_c0_g1	GO:0005524,GO:0005634,GO:0005829,GO:0009506,GO:0009793,GO:0016925,GO:0019948,GO:0031510,GO:0046872
TRINITY_DN10079_c0_g1	GO:0003697,GO:0005634,GO:0005730,GO:0009908,GO:0060195
TRINITY_DN1007_c0_g1	GO:0003700,GO:0005634,GO:0006351,GO:0043565
TRINITY_DN10080_c0_g1	GO:0003677,GO:0005634,GO:0005737,GO:0006919,GO:0046872,GO:0070062,GO:1901532,GO:1902035
TRINITY_DN10082_c0_g1	GO:0003700,GO:0005634,GO:0043565,GO:0045893
TRINITY_DN10083_c0_g1	GO:0004190,GO:0005576
TRINITY_DN10085_c0_g1	GO:0005886,GO:0009506,GO:0009554,GO:0009734,GO:0009933,GO:0009934,GO:0009956,GO:0010015,GO:0010305,GO:0016021
TRINITY_DN10086_c0_g1	GO:0004721,GO:0005737,GO:0046872
TRINITY_DN10088_c0_g1	GO:0001933,GO:0004721,GO:0005634,GO:0005654,GO:0006357,GO:0006470,GO:0008420,GO:0045665,GO:0046872,GO:0050768,GO:0070062,GO:2000134
TRINITY_DN10089_c0_g1	GO:0004657,GO:0005739,GO:0006562,GO:0006970,GO:0006979,GO:0009414,GO:0010133,GO:0042742
TRINITY_DN1008_c0_g1	GO:0000035,GO:0000139,GO:0005768,GO:0005794,GO:0005802,GO:0008270,GO:0009932,GO:0016021,GO:0019706,GO:0030659
TRINITY_DN1008_c0_g2	GO:0000035,GO:0000139,GO:0005768,GO:0005794,GO:0005802,GO:0008270,GO:0009932,GO:0016021,GO:0019706,GO:0030659
TRINITY_DN10090_c0_g1	GO:0005342,GO:0005887,GO:0006810,GO:0009941,GO:0016021,GO:1903825
TRINITY_DN10095_c0_g1	GO:0005739
TRINITY_DN10097_c0_g1	GO:0005737,GO:0016149
TRINITY_DN10098_c0_g1	GO:0004252,GO:0009507,GO:0009706,GO:0016021,GO:0016485,GO:0080140
TRINITY_DN10099_c0_g1	GO:0005777,GO:0006637,GO:0007031,GO:0016290,GO:0033882,GO:0045225,GO:0052689,GO:0052815
TRINITY_DN100_c0_g1	GO:0004672,GO:0004674,GO:0005524,GO:0005886,GO:0009611,GO:0009620,GO:0016021,GO:0046777
TRINITY_DN10101_c1_g1	GO:0000786,GO:0000790,GO:0000792,GO:0003677,GO:0003682,GO:0005634,GO:0005730,GO:0006342
TRINITY_DN10102_c0_g1	GO:0005388,GO:0005524,GO:0005886,GO:0005887,GO:0009506,GO:0009624,GO:0016020,GO:0043231,GO:0043621,GO:0046872
TRINITY_DN10102_c0_g2	GO:0005388,GO:0005524,GO:0005886,GO:0005887,GO:0009506,GO:0009624,GO:0016020,GO:0043231,GO:0043621,GO:0046872
TRINITY_DN10102_c2_g1	GO:0005388,GO:0005516,GO:0005524,GO:0005886,GO:0005887,GO:0007338,GO:0009555,GO:0043231,GO:0046872
TRINITY_DN10103_c0_g1	GO:0003735,GO:0005840,GO:0006412,GO:0009507,GO:0019843
TRINITY_DN10106_c0_g1	GO:0004674,GO:0005524
TRINITY_DN10107_c0_g1	GO:0005737,GO:0009055,GO:0015035,GO:0045454
TRINITY_DN10109_c0_g1	GO:0000226,GO:0000910,GO:0000922,GO:0005634,GO:0005737,GO:0005874
TRINITY_DN1010_c0_g1	GO:0005634,GO:0005737,GO:0006351,GO:0009408,GO:0009414,GO:0009585,GO:0009631,GO:0009816,GO:0043565,GO:0045893,GO:0046872,GO:0048574,GO:0048578
TRINITY_DN1010_c0_g2	GO:0005634,GO:0005737,GO:0006351,GO:0009408,GO:0009414,GO:0009585,GO:0009631,GO:0009816,GO:0043565,GO:0045893,GO:0046872,GO:0048574,GO:0048578
TRINITY_DN10110_c0_g1	GO:0001046,GO:0001228,GO:0003700,GO:0005634,GO:0006355,GO:0006366,GO:0045944,GO:0048765,GO:0048767,GO:0080147
TRINITY_DN10112_c0_g1	GO:0000139,GO:0002239,GO:0005524,GO:0005789,GO:0005886,GO:0006952,GO:0007165,GO:0009817,GO:0030275,GO:0042742,GO:0043531
TRINITY_DN10113_c0_g1	GO:0003725,GO:0004525,GO:0005634,GO:0009733,GO:0009735,GO:0009737,GO:0010267,GO:0010305,GO:0010445,GO:0010589,GO:0030422,GO:0031053,GO:0031054,GO:0035196,GO:0035198,GO:0035279,GO:0090502
TRINITY_DN10115_c0_g1	GO:0000287,GO:0003697,GO:0004519,GO:0005634,GO:0005730,GO:0005737,GO:0006302,GO:0008081,GO:0016605,GO:0030145,GO:0036317,GO:0045171,GO:0070260,GO:0090305
TRINITY_DN10117_c0_g1	GO:0005654,GO:0005737,GO:0005829,GO:0005886,GO:0005930,GO:0006457,GO:0036126,GO:0051087,GO:0070062
TRINITY_DN10119_c0_g1	GO:0008270
TRINITY_DN1011_c0_g1	GO:0000400,GO:0003684,GO:0005524,GO:0006290,GO:0006298,GO:0009411,GO:0032137,GO:0032138,GO:0032301,GO:0043570,GO:0045910
TRINITY_DN10120_c0_g1	GO:0016020,GO:0030014
TRINITY_DN10122_c0_g1	GO:0006633,GO:0009507
TRINITY_DN10123_c0_g1	GO:0000139,GO:0005794,GO:0006486,GO:0008378,GO:0016021
TRINITY_DN10125_c0_g1	GO:0004842,GO:0008270,GO:0008299,GO:0009414,GO:0010025,GO:0010143,GO:0010345,GO:0016021,GO:0016874,GO:0042335,GO:1900490
TRINITY_DN10126_c0_g1	GO:0005886,GO:0006952,GO:0009607,GO:0009817,GO:0016021
TRINITY_DN10128_c0_g1	GO:0008237,GO:0046872
TRINITY_DN1012_c0_g1	GO:0005634,GO:0005737,GO:0005829,GO:0006206,GO:0008252,GO:0016311,GO:0047405
TRINITY_DN10130_c0_g1	GO:0000911,GO:0005096,GO:0005635,GO:0005774,GO:0005783,GO:0005819,GO:0005886,GO:0006606,GO:0006913,GO:0009504,GO:0009507,GO:0009524,GO:0009651,GO:0016021,GO:0031965,GO:0032153
TRINITY_DN10130_c0_g2	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355
TRINITY_DN10131_c0_g1	GO:0000139,GO:0005768,GO:0005794,GO:0005802,GO:0008168,GO:0016020,GO:0016021
TRINITY_DN10132_c0_g1	GO:0004420,GO:0005789,GO:0008299,GO:0015936,GO:0016021,GO:0050661
TRINITY_DN10133_c0_g1	GO:0005622,GO:0006886,GO:0016021,GO:0016192,GO:0061025
TRINITY_DN10135_c0_g1	GO:0000271,GO:0004871,GO:0005886,GO:0009638,GO:0009664,GO:0009785,GO:0009825,GO:0009832,GO:0009932,GO:0010155,GO:0010817,GO:0016567,GO:0043481,GO:0046777,GO:0048767
TRINITY_DN10138_c0_g1	GO:0003677,GO:0003887,GO:0008622
TRINITY_DN10139_c0_g1	GO:0016567
TRINITY_DN10139_c0_g2	GO:0016567
TRINITY_DN1013_c0_g1	GO:0006810,GO:0016021
TRINITY_DN10140_c0_g1	GO:0004674,GO:0005516,GO:0005524,GO:0005886,GO:0016021,GO:0030246,GO:0048544
TRINITY_DN10142_c0_g1	GO:0016758
TRINITY_DN10142_c0_g2	GO:0016758
TRINITY_DN10143_c0_g1	GO:0001676,GO:0004467,GO:0005524,GO:0005794,GO:0005886,GO:0006631
TRINITY_DN10144_c0_g1	GO:0005743,GO:0016021,GO:0055085
TRINITY_DN10147_c0_g1	GO:0000741,GO:0006810,GO:0009651,GO:0010197,GO:0016021
TRINITY_DN10149_c0_g1	GO:0004722,GO:0016021,GO:0046872
TRINITY_DN10149_c0_g2	GO:0004722,GO:0016021,GO:0046872
TRINITY_DN1014_c0_g1	GO:0002020,GO:0003713,GO:0005634,GO:0005654,GO:0005737,GO:0005815,GO:0005829,GO:0006366,GO:0008270,GO:0016922,GO:0030331,GO:0030520,GO:0035035,GO:0044389,GO:0045893,GO:1901998
TRINITY_DN10150_c0_g1	GO:0005634,GO:0006950
TRINITY_DN10151_c0_g1	GO:0005315,GO:0005886,GO:0005887,GO:0006817,GO:0015293,GO:1901683,GO:1901684
TRINITY_DN10151_c0_g2	GO:0005315,GO:0005887,GO:0006817,GO:0015293,GO:0022891
TRINITY_DN10151_c0_g3	GO:0005315,GO:0005886,GO:0005887,GO:0006817,GO:0015293,GO:1901683,GO:1901684
TRINITY_DN10152_c0_g1	GO:0004674,GO:0005496,GO:0005524,GO:0005886,GO:0006952,GO:0016021
TRINITY_DN10153_c0_g1	GO:0009536,GO:0009941,GO:0016021,GO:0031969
TRINITY_DN10155_c0_g1	GO:0005634,GO:0005694,GO:0018024,GO:0046872
TRINITY_DN10157_c0_g1	GO:0003677,GO:0004864,GO:0005634,GO:0006351,GO:0046872
TRINITY_DN1015_c0_g2	GO:0000166,GO:0005634,GO:0005730,GO:0044822
TRINITY_DN10161_c0_g1	GO:0005634,GO:0005783,GO:0009555,GO:0010025,GO:0016747,GO:0042761,GO:0071555
TRINITY_DN10163_c0_g1	GO:0005524,GO:0042742,GO:0043531,GO:0048046
TRINITY_DN10166_c0_g1	GO:0000151,GO:0000209,GO:0005634,GO:0005829,GO:0006281,GO:0009640,GO:0009738,GO:0009755,GO:0009908,GO:0010100,GO:0010154,GO:0010182,GO:0031625,GO:0042787,GO:0048366,GO:0048367,GO:0048575,GO:0048825,GO:0080008
TRINITY_DN10167_c0_g1	GO:0001525,GO:0005737,GO:0005886,GO:0009986,GO:0010595,GO:0014909,GO:0030154,GO:0045766
TRINITY_DN10168_c0_g2	GO:0005634,GO:0006351,GO:0006355,GO:0032454,GO:0033169,GO:0046872,GO:0051213,GO:0060969
TRINITY_DN10169_c0_g1	GO:0005634,GO:0006281,GO:0016787
TRINITY_DN1016_c0_g1	GO:0000139,GO:0005634,GO:0005768,GO:0005774,GO:0005794,GO:0005802,GO:0008168,GO:0016021
TRINITY_DN1016_c0_g2	GO:0000139,GO:0005634,GO:0005768,GO:0005774,GO:0005794,GO:0005802,GO:0008168,GO:0009505,GO:0016021
TRINITY_DN1016_c1_g1	GO:0003700,GO:0005634,GO:0006351,GO:0044212,GO:0090602,GO:0090603
TRINITY_DN10170_c0_g1	GO:0005634,GO:0005829,GO:0051513
TRINITY_DN10171_c0_g1	GO:0004586,GO:0033387
TRINITY_DN10173_c0_g1	GO:0000139,GO:0002239,GO:0005524,GO:0005737,GO:0005789,GO:0005886,GO:0006952,GO:0007165,GO:0009626,GO:0009817,GO:0016045,GO:0030275,GO:0042742,GO:0043531
TRINITY_DN10173_c1_g1	GO:0005524,GO:0005737,GO:0005886,GO:0006952,GO:0009626,GO:0016045,GO:0042742,GO:0043531
TRINITY_DN10173_c1_g2	GO:0005524,GO:0006952,GO:0043531
TRINITY_DN10175_c0_g1	GO:0004861,GO:0005634,GO:0005654,GO:0007050
TRINITY_DN10177_c0_g1	GO:0005634,GO:0005759,GO:0016787,GO:0046872,GO:0070403
TRINITY_DN10177_c1_g1	GO:0005737
TRINITY_DN10178_c0_g1	GO:0009507,GO:0010019,GO:0015995,GO:0019899,GO:0031969,GO:0043085,GO:0046906
TRINITY_DN10179_c0_g1	GO:0000226,GO:0000325,GO:0000911,GO:0005524,GO:0005773,GO:0005774,GO:0006888,GO:0008281,GO:0008559,GO:0009506,GO:0009651,GO:0010290,GO:0015431,GO:0016021,GO:0030007,GO:0042626,GO:0043090,GO:0048046,GO:0055085
TRINITY_DN10180_c0_g1	GO:0000049,GO:0005524,GO:0005737,GO:0006400,GO:0016783
TRINITY_DN10181_c0_g1	GO:0000785,GO:0003682,GO:0005085,GO:0005634,GO:0005829,GO:0009411,GO:0009649,GO:0009881,GO:0010224,GO:0018298,GO:0042803,GO:0043547
TRINITY_DN10182_c0_g1	GO:0005524,GO:0005886,GO:0006457,GO:0009408,GO:0046872
TRINITY_DN10183_c0_g1	GO:0005886,GO:0016021
TRINITY_DN10185_c0_g1	GO:0004044,GO:0005618,GO:0005829,GO:0006164,GO:0006189,GO:0006541,GO:0009113,GO:0009116,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009658,GO:0046872,GO:0051536
TRINITY_DN10186_c0_g1	GO:0000779,GO:0000793,GO:0000796,GO:0000799,GO:0003682,GO:0004353,GO:0005654,GO:0005737,GO:0006520,GO:0007076,GO:0010032,GO:0016020,GO:0042393,GO:0045120,GO:0051301,GO:0051304
TRINITY_DN10187_c0_g1	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355,GO:0009911,GO:0040008
TRINITY_DN10187_c0_g2	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355,GO:0040008
TRINITY_DN10188_c0_g1	GO:0000166,GO:0005524,GO:0005622,GO:0005886,GO:0006952,GO:0007165,GO:0008219,GO:0009626,GO:0009816,GO:0038023,GO:0043531
TRINITY_DN10189_c0_g1	GO:0004970,GO:0005262,GO:0005622,GO:0005773,GO:0005886,GO:0006816,GO:0008066,GO:0009611,GO:0009630,GO:0009864,GO:0016021,GO:0019722,GO:0045087,GO:0050832,GO:0070588,GO:0071230
TRINITY_DN10189_c1_g1	GO:0004970,GO:0005262,GO:0005622,GO:0005886,GO:0006816,GO:0008066,GO:0016021,GO:0019722,GO:0070588,GO:0071230
TRINITY_DN1018_c0_g1	GO:0005829,GO:0007021
TRINITY_DN1018_c0_g2	GO:0005829,GO:0007021
TRINITY_DN10193_c0_g1	GO:0000139,GO:0000938,GO:0005794,GO:0009860,GO:0010008,GO:0012505,GO:0015031,GO:0019953
TRINITY_DN10194_c0_g2	GO:0004674,GO:0004714,GO:0005524,GO:0005886,GO:0016021
TRINITY_DN10194_c1_g1	GO:0002221,GO:0004672,GO:0004674,GO:0005524,GO:0005886,GO:0006952,GO:0009816,GO:0010068,GO:0016021,GO:0016301,GO:0030154,GO:0042335,GO:0042742,GO:0045087,GO:0046777,GO:0048645
TRINITY_DN10198_c1_g1	GO:0005315,GO:0005887,GO:0006817,GO:0015293,GO:0022891
TRINITY_DN10199_c0_g1	GO:0004672,GO:0004674,GO:0005524,GO:0005886,GO:0009506,GO:0016021
TRINITY_DN10199_c1_g1	GO:0004674,GO:0005524,GO:0016021
TRINITY_DN1019_c0_g1	GO:0005773,GO:0005783,GO:0009058,GO:0009611,GO:0009753,GO:0016020,GO:0016021,GO:0016788,GO:0016844
TRINITY_DN1019_c0_g2	GO:0005783,GO:0009058,GO:0016020,GO:0016021,GO:0016788,GO:0016844
TRINITY_DN10200_c0_g1	GO:0005886,GO:0009860,GO:0016567
TRINITY_DN10201_c0_g1	GO:0005783,GO:0005789,GO:0006281,GO:0006506,GO:0007049,GO:0016021,GO:0016787,GO:0030036,GO:0046872,GO:0051301
TRINITY_DN10202_c0_g1	GO:0005886,GO:0007405,GO:0007596,GO:0016021,GO:0016787,GO:0019369,GO:0030168,GO:0042136,GO:0043196,GO:0046340,GO:0046872,GO:0071926
TRINITY_DN10204_c0_g1	GO:0052689
TRINITY_DN10204_c0_g2	GO:0052689
TRINITY_DN10204_c1_g1	GO:0052689
TRINITY_DN10205_c0_g1	GO:0005886,GO:0009055,GO:0015035,GO:0045454
TRINITY_DN10206_c0_g1	GO:0005634,GO:0006351,GO:0006355,GO:0008270,GO:0016568
TRINITY_DN10207_c0_g1	GO:0009908,GO:0030154
TRINITY_DN10209_c0_g1	GO:0005887,GO:0008271,GO:0009506,GO:0015116,GO:0015293
TRINITY_DN1020_c0_g1	GO:0005509,GO:0010091
TRINITY_DN10210_c0_g1	GO:0000398,GO:0003677,GO:0003899,GO:0003968,GO:0005634,GO:0005654,GO:0005665,GO:0006281,GO:0006283,GO:0006289,GO:0006355,GO:0006366,GO:0006367,GO:0006368,GO:0006370,GO:0008380,GO:0010467,GO:0016032,GO:0031047,GO:0031625,GO:0033120,GO:0034587,GO:0035019,GO:0044822,GO:0046872,GO:0050434
TRINITY_DN10213_c0_g1	GO:0005524,GO:0005634,GO:0005829,GO:0016881,GO:0019781,GO:0045116,GO:0046982
TRINITY_DN10214_c0_g1	GO:0005249,GO:0005886,GO:0009535,GO:0009624,GO:0016021,GO:0030552,GO:0030553,GO:0042391,GO:0071805
TRINITY_DN10214_c0_g2	GO:0005249,GO:0009535,GO:0009624,GO:0016021,GO:0030552,GO:0030553,GO:0042391,GO:0071805
TRINITY_DN10214_c1_g1	GO:0005249,GO:0005886,GO:0016021,GO:0030552,GO:0030553,GO:0042391,GO:0071805
TRINITY_DN10216_c0_g1	GO:0005789,GO:0016021
TRINITY_DN10220_c0_g1	GO:0000287,GO:0005829,GO:0009143,GO:0016462,GO:0032556,GO:0042802,GO:0047429,GO:0047840,GO:0051289
TRINITY_DN10221_c0_g1	GO:0004674,GO:0005524,GO:0016021
TRINITY_DN10221_c1_g1	GO:0004674,GO:0005524,GO:0016021
TRINITY_DN10222_c0_g1	GO:0005507,GO:0005576,GO:0005615,GO:0016491
TRINITY_DN10222_c1_g1	GO:0005507,GO:0005618,GO:0005774,GO:0005886,GO:0009505,GO:0009506,GO:0009932,GO:0016020,GO:0016722,GO:0031225,GO:0046658,GO:0048046
TRINITY_DN10222_c1_g2	GO:0005507,GO:0005576,GO:0005615,GO:0005618,GO:0005774,GO:0005886,GO:0009505,GO:0009506,GO:0009932,GO:0016020,GO:0016491,GO:0016722,GO:0031225,GO:0046658,GO:0048046
TRINITY_DN10222_c1_g3	GO:0005507,GO:0005615,GO:0016491
TRINITY_DN10223_c0_g1	GO:0005634,GO:0016567,GO:0030246
TRINITY_DN10226_c0_g1	GO:0004842,GO:0016874
TRINITY_DN10227_c0_g1	GO:0006952,GO:0008270,GO:0010200,GO:0016021
TRINITY_DN10229_c0_g1	GO:0004674,GO:0005524,GO:0005886,GO:0010075,GO:0016021,GO:0030154,GO:0048437
TRINITY_DN10229_c0_g2	GO:0003735,GO:0005739,GO:0005762,GO:0006412,GO:0032543,GO:0042645
TRINITY_DN10229_c1_g1	GO:0004674,GO:0005524,GO:0005886,GO:0016021
TRINITY_DN1022_c0_g1	GO:0001666,GO:0004022,GO:0005737,GO:0005829,GO:0005886,GO:0006970,GO:0008270,GO:0009651,GO:0046686
TRINITY_DN1022_c7_g1	GO:0004022,GO:0005737,GO:0008270
TRINITY_DN10234_c0_g1	GO:0003924,GO:0005525,GO:0005829,GO:0019003
TRINITY_DN10235_c0_g1	GO:0005451,GO:0005770,GO:0006813,GO:0006885,GO:0016021,GO:1902600
TRINITY_DN10235_c1_g1	GO:0005451,GO:0005783,GO:0006623,GO:0006813,GO:0006885,GO:0012505,GO:0016021,GO:0030007,GO:0030104,GO:1902600
TRINITY_DN10236_c0_g1	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355,GO:0009555
TRINITY_DN10238_c0_g2	GO:0008176,GO:0036265,GO:0043527
TRINITY_DN1023_c0_g1	GO:0000166,GO:0003723,GO:0005634
TRINITY_DN10242_c0_g1	GO:0003677,GO:0006351,GO:0006355,GO:0009742,GO:0040008
TRINITY_DN10242_c0_g2	GO:0003677,GO:0006351,GO:0006355
TRINITY_DN10245_c0_g1	GO:0000287,GO:0005623,GO:0006071,GO:0008889,GO:0009507,GO:0009536,GO:0030643,GO:0046475
TRINITY_DN10247_c0_g1	GO:0005315,GO:0005886,GO:0005887,GO:0006817,GO:0015293,GO:0022891,GO:1901683,GO:1901684
TRINITY_DN10248_c0_g1	GO:0009877,GO:0016021
TRINITY_DN10249_c0_g1	GO:0003677,GO:0005634,GO:0005654,GO:0006325,GO:0006351,GO:0006355,GO:0007338,GO:0008270,GO:0035097,GO:0035264,GO:0035556,GO:0042800,GO:0044822,GO:0048146,GO:0051568,GO:0061029
TRINITY_DN10251_c0_g1	GO:0000023,GO:0005975,GO:0007020,GO:0009505,GO:0009911,GO:0009965,GO:0019252,GO:0043085,GO:0052692
TRINITY_DN10257_c0_g1	GO:0005789,GO:0005886,GO:0016021,GO:0032586
TRINITY_DN10257_c0_g2	GO:0005789,GO:0005886,GO:0016021,GO:0032586
TRINITY_DN10258_c0_g1	GO:0004176,GO:0005634,GO:0005730,GO:0005737,GO:0016020,GO:0016567,GO:0031464,GO:0032463,GO:0034766,GO:0043161,GO:0046872,GO:0090073
TRINITY_DN1025_c0_g1	GO:0003677,GO:0005634,GO:0006351,GO:0006355
TRINITY_DN10261_c0_g1	GO:0000155,GO:0004673,GO:0009507,GO:0009570,GO:0010109,GO:0010468,GO:0016301,GO:0018106,GO:0043621,GO:0046777,GO:0048038,GO:0051776,GO:0080005
TRINITY_DN10264_c0_g1	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006952,GO:0009873,GO:0016020
TRINITY_DN10268_c0_g1	GO:0005789,GO:0008168,GO:0016021
TRINITY_DN10269_c0_g1	GO:0004439,GO:0046856,GO:0046872
TRINITY_DN10269_c0_g2	GO:0004439,GO:0004445,GO:0009846,GO:0046856,GO:0046872,GO:0052658,GO:0052659
TRINITY_DN1026_c0_g1	GO:0000166,GO:0000288,GO:0000932,GO:0003899,GO:0005665,GO:0006366,GO:0006367,GO:0031369,GO:0031990,GO:0034402,GO:0045948
