comp100009_c0	GO:0004364,GO:0009734
comp101187_c0	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355,GO:0006952,GO:0042803,GO:0045892,GO:0050777,GO:0071219
comp101221_c0	GO:0004722,GO:0046872
comp101228_c0	GO:0005773,GO:0005783,GO:0009058,GO:0009615,GO:0009620,GO:0009723,GO:0009751,GO:0009753,GO:0016020,GO:0016788
comp101242_c0	GO:0000082,GO:0000184,GO:0002184,GO:0003747,GO:0003924,GO:0005525,GO:0005622,GO:0005829,GO:0006479,GO:0018444,GO:0044822
comp101247_c0	GO:0004864,GO:0004872,GO:0005634,GO:0005737,GO:0005886,GO:0009738,GO:0010427,GO:0043086,GO:0080163
comp10133_c0	GO:0000943,GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004523,GO:0004540,GO:0005524,GO:0005634,GO:0005737,GO:0006278,GO:0006310,GO:0008233,GO:0008270,GO:0015074,GO:0019076,GO:0032197,GO:0071897,GO:0090501
comp101405_c0	GO:0000281,GO:0005200,GO:0005764,GO:0005783,GO:0005794,GO:0005886,GO:0007009,GO:0007016,GO:0007165,GO:0007409,GO:0007411,GO:0008092,GO:0009986,GO:0010628,GO:0010765,GO:0010960,GO:0014704,GO:0014731,GO:0016323,GO:0016328,GO:0019228,GO:0030315,GO:0030507,GO:0030674,GO:0033268,GO:0033270,GO:0042383,GO:0043001,GO:0043034,GO:0043194,GO:0043266,GO:0044325,GO:0045184,GO:0045211,GO:0045296,GO:0045838,GO:0050808,GO:0071286,GO:0071709,GO:0072659,GO:0072660,GO:0072661,GO:1900827,GO:1902260,GO:2000651
comp101410_c0	GO:0005524,GO:0005737,GO:0006457,GO:0006950
comp101420_c0	GO:0004477,GO:0004488,GO:0005829,GO:0009396,GO:0009507,GO:0009853,GO:0035999
comp101438_c0	GO:0005506,GO:0009535,GO:0010277,GO:0015995,GO:0016705,GO:0031969,GO:0051537
comp101478_c0	GO:0005634,GO:0009507,GO:0009536,GO:0009570
comp10147_c0	GO:0004601,GO:0005576,GO:0006979,GO:0020037,GO:0042744,GO:0046872
comp101520_c0	GO:0005739
comp101526_c0	GO:0005778
comp101580_c0	GO:0005737
comp101581_c0	GO:0000502,GO:0005829,GO:0009965,GO:0043161,GO:0045087
comp101632_c2	GO:0005739
comp101663_c0	GO:0000943,GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004523,GO:0004540,GO:0005524,GO:0005634,GO:0005737,GO:0006278,GO:0006310,GO:0008233,GO:0008270,GO:0015074,GO:0019076,GO:0032197,GO:0071897,GO:0090501
comp101691_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp101792_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
comp101795_c0	GO:0004129,GO:0005507,GO:0005739,GO:0009507,GO:0009535,GO:0009579,GO:0009651
comp101800_c0	GO:0005829,GO:0005886,GO:0006099,GO:0008964,GO:0009506,GO:0009507,GO:0015977,GO:0015979,GO:0048046,GO:0048366
comp101868_c4	GO:0004674,GO:0005524,GO:0006470,GO:0008138,GO:0010468,GO:0031152,GO:0035423,GO:0038078,GO:0045088,GO:0070373,GO:1900424
comp101896_c0	GO:0000166,GO:0003723
comp101919_c1	GO:0005524,GO:0005886,GO:0005887,GO:0006754,GO:0008553,GO:0016020,GO:0043231,GO:0046872,GO:0051453,GO:1902600
comp101922_c0	GO:0004322,GO:0006826,GO:0006879,GO:0008199,GO:0009507
comp101993_c0	GO:0003676,GO:0003964,GO:0004519,GO:0015074
comp10203_c0	GO:0006351,GO:0006355,GO:0006417,GO:0007275,GO:0010586,GO:0030529,GO:0031047,GO:0035019,GO:0035198,GO:1902183
comp102081_c0	GO:0016491
comp102088_c0	GO:0003924,GO:0005509,GO:0005525,GO:0005739,GO:0007005,GO:0007264,GO:0009793,GO:0009860,GO:0031307
comp102188_c0	GO:0004612,GO:0005524,GO:0005737,GO:0006094
comp102202_c0	GO:0000943,GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004523,GO:0004540,GO:0005524,GO:0005634,GO:0005737,GO:0006278,GO:0006310,GO:0008233,GO:0008270,GO:0015074,GO:0019076,GO:0032197,GO:0071897,GO:0090501
comp102251_c0	GO:0000815,GO:0005770,GO:0005829,GO:0007034,GO:0015031,GO:0070676
comp102372_c0	GO:0005524,GO:0008559,GO:0016021
comp102374_c0	GO:0002084,GO:0005764,GO:0006898,GO:0007005,GO:0008474,GO:0009791,GO:0018991,GO:0044257
comp102433_c0	GO:0005773,GO:0005783,GO:0006071,GO:0008374,GO:0016021,GO:0019432,GO:0046027
comp102461_c0	GO:0005524,GO:0005886,GO:0006810,GO:0006952,GO:0016021,GO:0016887
comp102487_c0	GO:0003735,GO:0005730,GO:0005829,GO:0005886,GO:0006412,GO:0009506,GO:0022625,GO:0022626
comp102490_c0	GO:0009507,GO:0009535,GO:0009536,GO:0010304,GO:0015996,GO:0016021,GO:0016491,GO:0034256
comp102510_c0	GO:0005739,GO:0005774,GO:0005975,GO:0006099,GO:0006108,GO:0008746,GO:0009409,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009735,GO:0009793,GO:0009941,GO:0010319,GO:0016020,GO:0030060,GO:0048046
comp102514_c0	GO:0003676,GO:0004190,GO:0005524,GO:0008270,GO:0015074
comp102584_c0	GO:0009507,GO:0009535,GO:0009941,GO:0010287,GO:0016491
comp102597_c0	GO:0006633,GO:0009507
comp102611_c0	GO:0004722,GO:0046872
comp102618_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp102630_c0	GO:0005506,GO:0006537,GO:0009507,GO:0009536,GO:0009570,GO:0009735,GO:0010181,GO:0016040,GO:0019676,GO:0046686,GO:0048589,GO:0050660,GO:0051538,GO:0097054
comp102650_c0	GO:0003735,GO:0005840,GO:0006412,GO:0019843
comp102796_c0	GO:0003677,GO:0005634,GO:0006351,GO:0006355
comp102823_c0	GO:0005737,GO:0007275,GO:0009734,GO:0040008
comp102840_c0	GO:0009820,GO:0047037
comp102881_c0	GO:0004672,GO:0004674,GO:0005516,GO:0005524,GO:0005886,GO:0016021,GO:0030246,GO:0031625,GO:0046777
comp102926_c0	GO:0005739
comp10296_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
comp102995_c0	GO:0005634,GO:0005654,GO:0006468,GO:0007569,GO:0008270,GO:0009791,GO:0016605,GO:0018105,GO:0048147,GO:0050821,GO:0051457
comp103065_c0	GO:0000786,GO:0003677,GO:0005634,GO:0006334
comp103169_c0	GO:0003857,GO:0004165,GO:0004300,GO:0005618,GO:0005777,GO:0006635,GO:0008692,GO:0009506,GO:0009507,GO:0009695,GO:0009908
comp10322_c0	GO:0003777,GO:0005524,GO:0005874,GO:0008017,GO:0016887,GO:0031514,GO:0036156,GO:0036159,GO:0060294
comp103235_c0	GO:0004674,GO:0005524,GO:0005886,GO:0009556,GO:0010234,GO:0016020,GO:0016021,GO:0019199
comp103239_c0	GO:0003777,GO:0005524,GO:0005874,GO:0007018,GO:0036156
comp103269_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp103366_c0	GO:0005737,GO:0009507,GO:0009733,GO:0009734,GO:0009826,GO:0010252,GO:0010279
comp103366_c1	GO:0009733,GO:0010120,GO:0010252,GO:0010279,GO:1901183
comp103382_c0	GO:0003755,GO:0006457,GO:0009507,GO:0009570,GO:0009941,GO:0015031
comp103416_c0	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0008270,GO:0009416,GO:0009909,GO:0042802
comp103428_c0	GO:0003735,GO:0005840,GO:0006412
comp103434_c0	GO:0004190,GO:0005773,GO:0006629
comp103435_c0	GO:0005506,GO:0007275,GO:0009414,GO:0009639,GO:0010268,GO:0010295,GO:0016021,GO:0016125,GO:0016132,GO:0020037,GO:0046345
comp103440_c0	GO:0005524,GO:0005739,GO:0005774,GO:0006457,GO:0009408,GO:0009414,GO:0009507,GO:0009536,GO:0009570,GO:0009651,GO:0009704,GO:0009941,GO:0010157,GO:0045037
comp103441_c0	GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004519,GO:0005737,GO:0006310,GO:0015074,GO:0046872
comp103459_c0	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0009414,GO:0009651,GO:0009723,GO:0009737,GO:0009751,GO:0009753,GO:0009873,GO:0045893,GO:0071497
comp103468_c0	GO:0004497,GO:0005506,GO:0005789,GO:0016021,GO:0016705,GO:0020037
comp103501_c0	GO:0005524,GO:0009698,GO:0009718,GO:0009744,GO:0010224,GO:0010584,GO:0016207
comp103508_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp103514_c0	GO:0003735,GO:0005829,GO:0006412,GO:0009506,GO:0016020,GO:0022625,GO:0022626
comp103558_c0	GO:0005783,GO:0005789,GO:0016021,GO:0020037,GO:0043447,GO:0046872,GO:0055114
comp103570_c0	GO:0005524,GO:0005618,GO:0005634,GO:0005829,GO:0005886,GO:0009506
comp103606_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp103610_c0	GO:0003735,GO:0005618,GO:0005730,GO:0005773,GO:0005774,GO:0005829,GO:0005840,GO:0005886,GO:0006413,GO:0009506,GO:0016020,GO:0019843,GO:0022626,GO:0022627
comp103627_c0	GO:0005215,GO:0005524,GO:0016887
comp103705_c0	GO:0005615,GO:0005773,GO:0005774,GO:0008289
comp103734_c0	GO:0016491
comp103813_c0	GO:0000166,GO:0000398,GO:0003723,GO:0005681,GO:0005829,GO:0008380,GO:0016020,GO:0016607
comp103846_c0	GO:0004674,GO:0005524,GO:0005829,GO:0006972,GO:0009651,GO:0046777
comp103892_c0	GO:0003146,GO:0005634,GO:0007049,GO:0007417,GO:0007507,GO:0035118,GO:0048565,GO:0060828,GO:0071733
comp103972_c0	GO:0004435,GO:0004871,GO:0005622,GO:0005886,GO:0016042,GO:0035556
comp104015_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp104060_c2	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp104237_c0	GO:0003735,GO:0005840,GO:0006412
comp104280_c2	GO:0004674,GO:0005524,GO:0005886,GO:0010102,GO:0010468,GO:0016021
comp104359_c2	GO:0005615,GO:0005618,GO:0005794,GO:0009505,GO:0009741,GO:0048046
comp104381_c1	GO:0000943,GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004523,GO:0004540,GO:0005524,GO:0005634,GO:0005737,GO:0006278,GO:0006310,GO:0008233,GO:0008270,GO:0015074,GO:0019076,GO:0032197,GO:0071897,GO:0090501
comp104450_c0	GO:0016491
comp104464_c0	GO:0005524,GO:0005829,GO:0005886,GO:0006457,GO:0009408,GO:0009506,GO:0046872
comp104488_c0	GO:0000302,GO:0005524,GO:0005886,GO:0006855,GO:0016021,GO:0042626
comp104513_c0	GO:0000139,GO:0005525,GO:0005789,GO:0005886,GO:0006888,GO:0007264,GO:0015031
comp104537_c0	GO:0004672,GO:0004674,GO:0004842,GO:0005524,GO:0005769,GO:0005802,GO:0006952,GO:0008270,GO:0009737,GO:0009738,GO:0009788,GO:0016197,GO:0016567,GO:0016874,GO:0032940,GO:0043621,GO:0045324,GO:0048589
comp104571_c0	GO:0004163,GO:0005524,GO:0005829,GO:0019287
comp104577_c1	GO:0004674,GO:0005524,GO:0009553,GO:0010103,GO:0016021,GO:0048481
comp104583_c1	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp104586_c0	GO:0004497,GO:0005506,GO:0016705,GO:0020037
comp104610_c1	GO:0003676,GO:0004190,GO:0005524,GO:0008270,GO:0015074
comp10467_c0	GO:0018786,GO:0042206,GO:0042802
comp104720_c0	GO:0000166,GO:0003723,GO:0005634
comp104754_c0	GO:0005737,GO:0005886,GO:0006508,GO:0008270,GO:0042277,GO:0043171,GO:0070006
comp104800_c0	GO:0000139,GO:0005509,GO:0005770,GO:0005783,GO:0005794,GO:0005802,GO:0005886,GO:0006623,GO:0006896,GO:0007034,GO:0009940,GO:0016021,GO:0030665,GO:0031902
comp104821_c0	GO:0003958,GO:0005506,GO:0005783,GO:0005789,GO:0009507,GO:0009698,GO:0010181,GO:0030586,GO:0055114
comp104921_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp105006_c2	GO:0005509,GO:0005773,GO:0032578
comp105171_c0	GO:0003735,GO:0005840,GO:0006412,GO:0009507,GO:0019843
comp105173_c1	GO:0000059,GO:0000060,GO:0005095,GO:0005634,GO:0005643,GO:0005654,GO:0005730,GO:0005737,GO:0005794,GO:0006607,GO:0006610,GO:0008139,GO:0008536,GO:0008565,GO:0016020,GO:0016032,GO:0031965,GO:0034260,GO:0034399,GO:0042307,GO:0043231,GO:0044822,GO:0071230
comp105213_c0	GO:0009813,GO:0015020,GO:0043231,GO:0050403,GO:0050502,GO:0052696,GO:0080043,GO:0080044
comp105261_c0	GO:0003723,GO:0005730,GO:0006364,GO:0030529
comp105274_c0	GO:0005576,GO:0005618,GO:0005737,GO:0030599,GO:0042545,GO:0045330,GO:0045490
comp105276_c0	GO:0005737,GO:0005929
comp105343_c0	GO:0008127,GO:0046872
comp105346_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp105372_c0	GO:0000790,GO:0003677,GO:0006260,GO:0006281,GO:0007131,GO:0007141,GO:0009555,GO:0046872,GO:0048232,GO:0051026
comp105452_c0	GO:0005198,GO:0005759,GO:0006790,GO:0008198,GO:0009570,GO:0016226,GO:0051537,GO:0051539,GO:0097428
comp105480_c3	GO:0000166,GO:0000398,GO:0016607,GO:0017069
comp105573_c0	GO:0003677,GO:0004190
comp105575_c0	GO:0046872,GO:0051213
comp105697_c1	GO:0005737,GO:0009408,GO:0009644,GO:0010286,GO:0042542
comp105710_c0	GO:0004672,GO:0004674,GO:0005524,GO:0007623,GO:0009507,GO:0009535,GO:0042548
comp105811_c0	GO:0005506,GO:0016710,GO:0020037
comp105868_c0	GO:0000943,GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004523,GO:0004540,GO:0005524,GO:0005634,GO:0005737,GO:0006278,GO:0006310,GO:0008233,GO:0008270,GO:0015074,GO:0019076,GO:0032197,GO:0071897,GO:0090501
comp105868_c1	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
comp105875_c0	GO:0004177,GO:0005737,GO:0005829,GO:0008235,GO:0016485,GO:0031365,GO:0046872
comp105905_c0	GO:0003774,GO:0005524,GO:0005768,GO:0005783,GO:0006897,GO:0009506,GO:0009524,GO:0016459
comp105936_c0	GO:0004674,GO:0005524,GO:0006470,GO:0008138,GO:0010468,GO:0031152,GO:0035423,GO:0038078,GO:0045088,GO:0070373,GO:1900424
comp105948_c0	GO:0005789,GO:0010132,GO:0047792
comp106002_c0	GO:0005215,GO:0005634,GO:0005829,GO:0005886,GO:0007049,GO:0008289,GO:0016021,GO:0051301
comp106036_c1	GO:0003700,GO:0005634,GO:0006351,GO:0009651,GO:0043565,GO:0044212,GO:0045893
comp106078_c0	GO:0004067,GO:0005829,GO:0008798
comp106108_c0	GO:0005739,GO:0010182,GO:0080156
comp106124_c0	GO:0000963,GO:0005739,GO:0009507,GO:0016554,GO:0080156
comp106140_c0	GO:0003756,GO:0005774,GO:0005783,GO:0006457,GO:0009505,GO:0009553,GO:0009567,GO:0009793,GO:0034976,GO:0045454,GO:0046686,GO:0048868
comp106166_c0	GO:0004845,GO:0005525,GO:0006223,GO:0044206
comp106265_c0	GO:0035251,GO:1900994
comp106270_c1	GO:0004519,GO:0006397,GO:0009507,GO:0016556,GO:0090305
comp106309_c0	GO:0005244,GO:0005634,GO:0005829,GO:0016021,GO:0071805
comp106348_c0	GO:0004379,GO:0005829,GO:0005840,GO:0006499,GO:0010064,GO:0019107,GO:0040007
comp106353_c0	GO:0005576,GO:0005618,GO:0005737,GO:0030599,GO:0042545,GO:0045330,GO:0045490
comp106369_c0	GO:0003713,GO:0005634,GO:0005737,GO:0006351,GO:0006355
comp106376_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp106387_c0	GO:0004725,GO:0005829,GO:0006970,GO:0008138,GO:0009651,GO:0016314,GO:0035335,GO:0046856,GO:0052866,GO:0070300
comp106449_c0	GO:0003924,GO:0005200,GO:0005525,GO:0005737,GO:0005874,GO:0007017
comp106631_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp106651_c0	GO:0008270,GO:0016021,GO:0016567
comp106675_c0	GO:0000502,GO:0005524,GO:0005886,GO:0008540,GO:0009553,GO:0009555,GO:0010255,GO:0010498,GO:0016020,GO:0017025,GO:0030433,GO:0031595,GO:0031597,GO:0036402,GO:0045899,GO:1901800
comp106709_c0	GO:0004526,GO:0005655,GO:0031047,GO:0048471,GO:0050688,GO:0090502
comp106802_c0	GO:0000723,GO:0000784,GO:0003684,GO:0003690,GO:0004003,GO:0005524,GO:0006281,GO:0006303,GO:0006310,GO:0032508,GO:0042162,GO:0043564,GO:0071480,GO:0071481
comp106902_c0	GO:0009507
comp106945_c0	GO:0004722,GO:0046872
comp106946_c0	GO:0004802,GO:0009535,GO:0019253,GO:0046872
comp107064_c0	GO:0003723,GO:0005730,GO:0005737,GO:0042254
comp107076_c0	GO:0005737,GO:0046872,GO:0051213
comp107077_c0	GO:0000502,GO:0005634,GO:0005829,GO:0005886,GO:0016020,GO:0030163
comp107090_c0	GO:0005829,GO:0008234,GO:0016920
comp107099_c0	GO:0003755,GO:0005768,GO:0005794,GO:0005802,GO:0005886,GO:0006457,GO:0016021,GO:0042277
comp107112_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
comp107221_c0	GO:0004190,GO:0005768,GO:0010008,GO:0016021
comp107274_c1	GO:0004332,GO:0006096,GO:0009507
comp107285_c0	GO:0005524,GO:0009535,GO:0015986,GO:0015991,GO:0045261,GO:0046933,GO:0046961
comp107293_c0	GO:0005956,GO:0006468,GO:0019887,GO:0071900
comp107303_c0	GO:0000786,GO:0003677,GO:0005634
comp107357_c0	GO:0005506,GO:0016021,GO:0020037,GO:0033075,GO:0047084
comp107415_c0	GO:0004645,GO:0005980,GO:0008184,GO:0009266,GO:0009414,GO:0009507,GO:0009536,GO:0009570,GO:0030170
comp107418_c0	GO:0006950
comp107494_c0	GO:0009507,GO:0009535,GO:0009941,GO:0010020,GO:0016021,GO:0042651,GO:0090143
comp107522_c0	GO:0005507,GO:0009055,GO:0009535,GO:0055114
comp107526_c0	GO:0005524,GO:0005739,GO:0008270,GO:0016226,GO:0030170,GO:0031071,GO:0044571,GO:0051536
comp107585_c0	GO:0000184,GO:0000956,GO:0003677,GO:0004004,GO:0005524,GO:0005634,GO:0005737,GO:0005844,GO:0006310,GO:0006449,GO:0008270,GO:0008298,GO:0016567,GO:0016887,GO:0030466,GO:0043024,GO:0070478
comp107608_c0	GO:0003998
comp107680_c0	GO:0003735,GO:0005730,GO:0006412,GO:0009506,GO:0022625
comp107682_c0	GO:0005742,GO:0016021,GO:0045040
comp107697_c0	GO:0000943,GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004523,GO:0004540,GO:0005524,GO:0005634,GO:0005737,GO:0006278,GO:0006310,GO:0008233,GO:0008270,GO:0015074,GO:0019076,GO:0032197,GO:0071897,GO:0090501
comp10769_c0	GO:0005525,GO:0005730,GO:0016020,GO:0042254
comp107750_c0	GO:0005819,GO:0007067,GO:0009524,GO:0009574,GO:0051301,GO:0055028
comp107766_c0	GO:0000166,GO:0000243,GO:0000398,GO:0003729,GO:0005634,GO:0005685,GO:0016607,GO:0030619,GO:0071004,GO:0071011
comp107863_c0	GO:0006457,GO:0016272
comp107871_c0	GO:0016491,GO:0046872
comp107908_c0	GO:0006461,GO:0009507,GO:0009523,GO:0009533,GO:0009534,GO:0009535,GO:0009570,GO:0009579,GO:0009657,GO:0009735,GO:0009941,GO:0015979,GO:0031977,GO:0046686
comp107981_c1	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp108011_c0	GO:0004167,GO:0005615,GO:0050178
comp108053_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
comp108055_c1	GO:0006809,GO:0009703,GO:0020037,GO:0030151,GO:0042128,GO:0043546,GO:0050464
comp108067_c1	GO:0005634,GO:0006511,GO:0016567
comp108075_c0	GO:0003723,GO:0004386,GO:0005524
comp108078_c0	GO:0005840,GO:0009507
comp10810_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
comp108121_c0	GO:0050549
comp108145_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
comp108145_c1	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
comp108176_c0	GO:0009507,GO:0019253,GO:0042132,GO:0046872,GO:0050278
comp108186_c0	GO:0000413,GO:0003755,GO:0005528,GO:0005789,GO:0009507,GO:0009543,GO:0031977,GO:0061077
comp10820_c1	GO:0009507
comp108213_c0	GO:0000741,GO:0006810,GO:0009651,GO:0010197,GO:0016021
comp108238_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp108257_c0	GO:0003743,GO:0006417
comp108330_c2	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp108343_c0	GO:0005525,GO:0005622,GO:0005886,GO:0007264,GO:0015031
comp108397_c0	GO:0005634,GO:0009737,GO:0010608,GO:0010629,GO:0016567
comp108422_c0	GO:0003735,GO:0006412,GO:0016020,GO:0022625
comp108457_c0	GO:0003677,GO:0004190,GO:0005783,GO:0009414,GO:0009627,GO:0009737,GO:0030163,GO:0070001
comp108468_c0	GO:0004478,GO:0005524,GO:0005737,GO:0006556,GO:0006730,GO:0046872
comp108477_c0	GO:0005829,GO:0016020,GO:0022626,GO:0022627
comp108507_c0	GO:0005634,GO:0005737,GO:0009864,GO:0009944,GO:0009954,GO:0010227,GO:0010254,GO:0010434,GO:0010582,GO:0016567,GO:0048439
comp108513_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp108524_c0	GO:0005737,GO:0008970,GO:0009507,GO:0009650,GO:0016042,GO:0071493
comp108528_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
comp108556_c0	GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004519,GO:0005737,GO:0006310,GO:0015074,GO:0046872
comp108557_c1	GO:0005524,GO:0010315,GO:0010329,GO:0010540,GO:0016021,GO:0042626
comp108579_c0	GO:0000224
comp108579_c1	GO:0000224
comp108579_c2	GO:0000224
comp108593_c0	GO:0009522,GO:0009523,GO:0009535,GO:0009765,GO:0016021,GO:0016168,GO:0018298,GO:0046872
comp108597_c0	GO:0005829,GO:0010026,GO:0010482,GO:0048765,GO:0051567
comp108626_c0	GO:0003735,GO:0006364,GO:0006412,GO:0022627,GO:0030686,GO:0032040,GO:0042274
comp108635_c0	GO:0005524,GO:0005739,GO:0006457
comp108642_c0	GO:0005739,GO:0005759,GO:0006537,GO:0009416,GO:0009507,GO:0009570,GO:0009744,GO:0009853,GO:0009941,GO:0015930,GO:0016020,GO:0016041,GO:0019676,GO:0046872,GO:0048046,GO:0051538,GO:0080114,GO:0097054
comp108645_c0	GO:0000028,GO:0003735,GO:0005618,GO:0005840,GO:0006412,GO:0009506,GO:0022626,GO:0022627,GO:0046872
